rec,seq,catch_ms,drive_ms,recovery_ms,peak,peak_pos_pct,impulse,rise_rate,third1,third2,third3,curve_valid
0,1,46279,794,1318,57.6150,38,29.08665,217.8241,9.52238,13.85564,5.70863,1
1,2,48391,772,1340,55.1660,38,27.16995,218.2279,9.00851,12.84950,5.31194,1
2,3,50503,763,1347,56.6463,38,27.50224,217.3178,8.86521,13.16419,5.47284,1
3,4,52613,762,1352,55.3595,37,26.86615,221.5366,8.88777,12.72880,5.24959,1
4,5,54727,789,1328,56.3740,37,28.24382,218.3432,9.33736,13.40465,5.50181,1
5,6,56844,768,1346,55.5724,39,27.18563,207.8981,8.67404,13.04887,5.46272,1
6,7,58958,766,1342,56.8910,39,27.69645,211.8393,8.77529,13.34588,5.57528,1
7,8,61066,781,1333,57.1616,37,28.30972,222.6240,9.31732,13.47286,5.51954,1
8,9,63180,787,1326,56.2766,38,28.15563,210.8736,9.11694,13.46069,5.57800,1
9,10,65293,775,1337,57.8213,39,28.43390,212.1950,8.97863,13.72754,5.72773,1
10,11,67405,776,1335,56.6182,37,27.92514,216.3037,9.06497,13.34239,5.51779,1
11,12,69516,765,1351,56.4529,37,27.43048,226.0740,9.07704,13.01640,5.33704,1
12,13,71632,770,1339,56.9182,38,27.84765,218.7361,9.02718,13.31896,5.50151,1
13,14,73741,769,1347,56.4432,38,27.57348,222.1651,9.05712,13.11933,5.39702,1
14,15,75857,768,1346,58.7193,39,28.56631,217.5493,9.01064,13.80868,5.74699,1
15,16,77971,793,1317,58.3438,39,29.36280,208.8687,9.27428,14.17629,5.91222,1
16,17,80081,793,1325,57.7754,38,29.10031,213.8345,9.38952,13.94298,5.76781,1
17,18,82199,795,1314,56.6079,39,28.65763,207.5039,9.22634,13.72161,5.70968,1
18,19,84308,764,1345,56.5646,38,27.50982,216.0179,8.84995,13.17588,5.48398,1
19,20,86417,770,1346,56.5306,38,27.65678,220.9944,9.05987,13.16824,5.42868,1
20,21,88533,798,1315,57.7676,38,29.25517,216.2176,9.53527,13.97437,5.74554,1
21,22,90646,784,1324,59.3115,38,29.46481,216.8502,9.34103,14.22412,5.89965,1
22,23,92754,777,1344,57.0808,38,28.19111,223.5281,9.29689,13.39139,5.50284,1
